,word,frequency
8216,"derby D ER B IY
",7
8217,"derelict D EH R AH L IH K T
",1
8218,"dereliction D EH R AH L IH K SH AH N
",2
8219,"derelicts D EH R AH L IH K T S
",1
8220,"derision D ER IH ZH AH N
",4
8221,"derisively D ER IH S IH V L IY
",1
8222,"derivation D EH R AH V EY SH AH N
",4
8223,"derivative D ER IH V AH T IH V
",1
8224,"derive D ER AY V
",13
8225,"derived D ER AY V D
",39
8226,"derives D ER AY V Z
",9
8227,"deriving D ER AY V IH NG
",4
8228,"derogatory D ER AA G AH T AO R IY
",1
8229,"derrick D EH R IH K
",3
8230,"dervish D ER V IH SH
",1
8231,"des D EH S
",9
8232,"descartes D EY K AA R T
",2
8233,"descend D IH S EH N D
",4
8234,"descendant D IH S EH N D AH N T
",2
8235,"descendants D IH S EH N D AH N T S
",4
8236,"descended D IH S EH N D AH D
",8
8237,"descendents D IH S EH N D AH N T S
",1
8238,"descending D IH S EH N D IH NG
",10
8239,"descends D IH S EH N D Z
",2
8240,"descent D IH S EH N T
",11
8241,"describe D IH S K R AY B
",41
8242,"described D IH S K R AY B D
",120
8243,"describes D IH S K R AY B Z
",22
8244,"describing D IH S K R AY B IH NG
",17
8245,"description D IH S K R IH P SH AH N
",54
8246,"descriptions D IH S K R IH P SH AH N Z
",10
8247,"descriptive D IH S K R IH P T IH V
",7
8248,"desecrated D EH Z AH K R EY T IH D
",1
8249,"desecration D EH S AH K R EY SH AH N
",1
8250,"desegregate D IH S EH G R AH G EY T
",1
8251,"desegregated D IH S EH G R IH G EY T IH D
",6
8252,"desegregation D IH S EH G R AH G EY SH AH N
",40
8253,"desensitized D IH S EH N S AH T AY Z D
",1
8254,"desert D EH Z ER T
",21
8255,"deserted D IH Z ER T IH D
",15
8256,"desertion D IH Z ER SH AH N
",2
8257,"deserts D EH Z ER T S
",5
8258,"deserve D IH Z ER V
",12
8259,"deserved D IH Z ER V D
",12
8260,"deserves D IH Z ER V Z
",16
8261,"deserving D IH Z ER V IH NG
",2
8262,"design D IH Z AY N
",114
8263,"designate D EH Z AH G N EY T
",5
8264,"designated D EH Z IH G N EY T IH D
",17
8265,"designates D EH Z IH G N EY T S
",1
8266,"designating D EH Z IH G N EY T IH NG
",3
8267,"designation D EH Z AH G N EY SH AH N
",4
8268,"designations D EH Z AH G N EY SH AH N Z
",1
8269,"designed D IH Z AY N D
",108
8270,"designer D IH Z AY N ER
",18
8271,"designer's D IH Z AY N ER Z
",1
8272,"designers D IH Z AY N ER Z
",14
8273,"designing D IH Z AY N IH NG
",9
8274,"designs D IH Z AY N Z
",28
8275,"desirability D IH Z AY R AH B IH L IH T IY
",2
8276,"desirable D IH Z AY R AH B AH L
",36
8277,"desire D IH Z AY ER
",79
8278,"desired D IH Z AY ER D
",50
8279,"desires D IH Z AY ER Z
",24
8280,"desiring D IH Z AY ER IH NG
",5
8281,"desirous D IH Z AY R AH S
",1
8282,"desk D EH S K
",65
8283,"desks D EH S K S
",4
8284,"desmond D EH Z M AH N D
",1
8285,"desolate D EH S AH L AH T
",6
8286,"desolation D EH S AH L EY SH AH N
",5
8287,"desoto D IH S OW T OW
",1
8288,"despair D IH S P EH R
",21
8289,"despairing D IH S P EH R IH NG
",4
8290,"desperadoes D EH S P ER AA D OW Z
",1
8291,"desperate D EH S P R IH T
",26
8292,"desperately D EH S P ER AH T L IY
",22
8293,"desperation D EH S P ER EY SH AH N
",7
8294,"despise D IH S P AY Z
",7
8295,"despised D IH S P AY Z D
",3
8296,"despises D IH S P AY Z IH Z
",1
8297,"despising D IH S P AY Z IH NG
",1
8298,"despite D IH S P AY T
",104
8299,"despondency D IH S P AA N D AH N S IY
",2
8300,"despondent D IH S P AA N D AH N T
",2
8301,"despot D EH S P AH T
",2
8302,"despotism D EH S P AH T IH Z AH M
",5
8303,"dessert D IH Z ER T
",7
8304,"desserts D IH Z ER T S
",2
8305,"destination D EH S T AH N EY SH AH N
",9
8306,"destined D EH S T IH N D
",9
8307,"destinies D EH S T AH N IY Z
",3
8308,"destiny D EH S T AH N IY
",22
8309,"destitute D EH S T AH T UW T
",2
8310,"destroy D IH S T R OY
",48
8311,"destroyed D IH S T R OY D
",39
8312,"destroyer D IH S T R OY ER
",2
8313,"destroyers D IH S T R OY ER Z
",3
8314,"destroying D IH S T R OY IH NG
",17
8315,"destruction D IH S T R AH K SH AH N
",38
8316,"destructive D IH S T R AH K T IH V
",25
8317,"desultory D EH S AH L T AO R IY
",1
8318,"detach D IH T AE CH
",1
8319,"detachable D IH T AE CH AH B AH L
",2
8320,"detached D IH T AE CH T
",12
8321,"detachment D IH T AE CH M AH N T
",4
8322,"detail D IH T EY L
",72
8323,"detailed D IH T EY L D
",52
8324,"details D IH T EY L Z
",57
8325,"detain D IH T EY N
",1
8326,"detained D IH T EY N D
",1
8327,"detect D IH T EH K T
",10
8328,"detectable D IH T EH K T AH B AH L
",8
8329,"detected D IH T EH K T AH D
",12
8330,"detecting D IH T EH K T IH NG
",6
8331,"detection D IH T EH K SH AH N
",13
8332,"detective D IH T EH K T IH V
",52
8333,"detective's D IH T EH K T IH V Z
",3
8334,"detectives D IH T EH K T IH V Z
",17
8335,"detector D IH T EH K T ER
",3
8336,"detectors D IH T EH K T ER Z
",2
8337,"detente D EY T AA N T
",2
8338,"detention D IH T EH N SH AH N
",2
8339,"deter D IH T ER
",1
8340,"detergent D IH T ER JH AH N T
",25
8341,"detergents D IH T ER JH AH N T S
",4
8342,"deteriorate D IH T IH R IY ER EY T
",1
8343,"deteriorated D IH T IH R IY ER EY T IH D
",4
8344,"deteriorates D IH T IH R IY ER EY T S
",1
8345,"deteriorating D IH T IH R IY ER EY T IH NG
",2
8346,"deterioration D IH T IH R IY ER EY SH AH N
",3
8347,"determinable D IH T ER M AH N AH B AH L
",1
8348,"determinant D IH T ER M AH N AH N T
",1
8349,"determinants D IH T ER M AH N AH N T S
",2
8350,"determinate D IH T ER M AH N EY T
",1
8351,"determination D IH T ER M AH N EY SH AH N
",39
8352,"determinations D IH T ER M IH N EY SH AH N Z
",2
8353,"determinative D IH T ER M IH N AH T IH V
",1
8354,"determine D AH T ER M AH N
",107
8355,"determined D IH T ER M AH N D
",119
8356,"determinedly D AH T ER M AH N AH D L IY
",2
8357,"determines D AH T ER M AH N Z
",14
8358,"determining D IH T ER M AH N IH NG
",33
8359,"determinism D IH T ER M AH N IH Z AH M
",1
8360,"deterministic D IH T ER M AH N IH S T IH K
",7
8361,"deterrence D IH T ER AH N S
",1
8362,"deterrent D IH T ER R AH N T
",8
8363,"detest D IH T EH S T
",1
8364,"detested D IH T EH S T IH D
",3
8365,"detonated D EH T AH N EY T AH D
",3
8366,"detonating D EH T AH N EY T IH NG
",1
8367,"detonation D EH T AH N EY SH AH N
",3
8368,"detoured D IY T UH R D
",2
8369,"detours D IH T UH R Z
",1
8370,"detract D IH T R AE K T
",1
8371,"detractor D IY T R AE K T ER
",1
8372,"detractors D IH T R AE K T ER Z
",1
8373,"detriment D EH T R AH M AH N T
",2
8374,"detrimental D EH T R AH M EH N T AH L
",4
8375,"detroit D IH T R OY T
",21
8376,"detroit's D AH T R OY T S
",1
8377,"deutsch D OY CH
",1
8378,"deutsche D OY CH
",1
8379,"deux D UW
",4
8380,"devastate D EH V AH S T EY T
",1
8381,"devastated D EH V AH S T EY T IH D
",3
8382,"devastating D EH V AH S T EY T IH NG
",5
8383,"devastatingly D EH V AH S T EY T IH NG L IY
",1
8384,"devastation D EH V AH S T EY SH AH N
",2
8385,"develop D IH V EH L AH P
",89
8386,"developed D IH V EH L AH P T
",170
8387,"developer D IH V EH L AH P ER
",5
8388,"developers D IH V EH L AH P ER Z
",2
8389,"developing D IH V EH L AH P IH NG
",52
8390,"development D IH V EH L AH P M AH N T
",334
8391,"developmental D IH V EH L AH P M EH N T AH L
",9
8392,"developments D IH V EH L AH P M AH N T S
",44
8393,"develops D IH V EH L AH P S
",11
8394,"devens D IY V AH N Z
",1
8395,"dever D IY V ER
",1
8396,"devey D IH V EY
",5
8397,"deviance D IY V IY AH N S
",2
8398,"deviant D IY V IY AH N T
",3
8399,"deviants D IY V IY AH N T S
",2
8400,"deviate D IY V IY EY T
",1
8401,"deviated D IY V IY EY T IH D
",1
8402,"deviating D IY V IY EY T IH NG
",1
8403,"deviation D IY V IY EY SH AH N
",14
8404,"deviations D IY V IY EY SH AH N Z
",4
8405,"device D IH V AY S
",55
8406,"devices D IH V AY S AH Z
",37
8407,"devil D EH V AH L
",25
8408,"devil's D EH V AH L Z
",5
8409,"devilish D EH V L IH SH
",3
8410,"devils D EH V AH L Z
",2
8411,"devious D IY V IY AH S
",1
8412,"devise D IH V AY Z
",8
8413,"devised D IH V AY Z D
",16
8414,"devising D IH V AY Z IH NG
",1
8415,"devoid D IH V OY D
",6
8416,"devol D EH V AO L
",3
8417,"devonshire D IH V AA N SH AY R
",1
8418,"devote D IH V OW T
",15
8419,"devoted D IH V OW T IH D
",51
8420,"devotees D EH V AH T IY Z
",3
8421,"devoting D IH V OW T IH NG
",10
8422,"devotion D IH V OW SH AH N
",19
8423,"devotional D IH V OW SH AH N AH L
",1
8424,"devour D IH V AW ER
",2
8425,"devoured D IH V AW ER D
",1
8426,"devout D IH V AW T
",4
8427,"devoutly D IH V AW T L IY
",1
8428,"dew D UW
",3
8429,"dewey D UW IY
",3
8430,"dewitt D AH W IH T
",1
8431,"dexter D EH K S T ER
",3
8432,"dexter's D EH K S T ER Z
",1
8433,"dexterity D EH K S T EH R AH T IY
",1
8434,"dextrous D EH K S T R AH S
",2
8435,"dey D EY
",2
8436,"dharma D AA R M AH
",1
8437,"di D IY
",22
8438,"diabetes D AY AH B IY T IY Z
",4
8439,"diabetic D AY AH B EH T IH K
",2
8440,"diabolical D AY AH B AA L IH K AH L
",1
8441,"diagnose D AY AH G N OW S
",3
8442,"diagnosed D AY AH G N OW S T
",2
8443,"diagnoses D AY AH G N OW S IY Z
",1
8444,"diagnosing D AY AH G N OW S IH NG
",2
8445,"diagnosis D AY AH G N OW S AH S
",13
8446,"diagnostic D AY AH G N AA S T IH K
",10
8447,"diagonal D AY AE G AH N AH L
",4
8448,"diagonally D AY AE G AH N AH L IY
",4
8449,"diagonals D AY AE G AH N AH L Z
",1
8450,"diagram D AY AH G R AE M
",10
8451,"diagrammed D AY AH G R AE M D
",1
8452,"diagrams D AY AH G R AE M Z
",8
8453,"dial D AY AH L
",1
8454,"dialect D AY AH L EH K T
",10
8455,"dialectic D AY AH L EH K T IH K
",6
8456,"dialectical D AY AH L EH K T IH K AH L
",1
8457,"dialects D AY AH L EH K T S
",4
8458,"dialed D AY AH L D
",3
8459,"dialing D AY AH L IH NG
",1
8460,"dialogue D AY AH L AO G
",12
8461,"dialogues D AY AH L AO G Z
",2
8462,"dials D AY AH L Z
",1
8463,"dialysis D AY AE L AH S AH S
",12
8464,"diameter D AY AE M AH T ER
",45
8465,"diametrically D AY AH M EH T R IH K AH L IY
",2
8466,"diamond D AY M AH N D
",8
8467,"diamonds D AY M AH N D Z
",7
8468,"diana D AY AE N AH
",7
8469,"diane D AY AE N
",14
8470,"diane's D AY AE N Z
",4
8471,"diapers D AY AH P ER Z
",3
8472,"diaphanous D AY AE F AH N IH S
",1
8473,"diaphragm D AY AH F R AE M
",7
8474,"diaries D AY ER IY Z
",2
8475,"diario D AY EH R IY OW
",2
8476,"diarrhea D AY ER IY AH
",7
8477,"diarrhoea D AY ER IY AH
",3
8478,"diary D AY ER IY
",4
8479,"diathermy D AY AH TH ER M IY
",1
8480,"diatomic D AY AH T AA M IH K
",2
8481,"diatoms D AY AH T AA M Z
",1
8482,"dice D AY S
",14
8483,"dichotomy D AY K AA T AH M IY
",1
8484,"dick D IH K
",18
8485,"dick's D IH K S
",2
8486,"dicke D IH K
",1
8487,"dickens D IH K AH N Z
",16
8488,"dickens' D IH K AH N Z
",2
8489,"dickey D IH K IY
",3
8490,"dickey's D IH K IY Z
",1
8491,"dickinson D IH K IH N S AH N
",1
8492,"dicks D IH K S
",2
8493,"dickson D IH K S AH N
",3
8494,"dictate D IH K T EY T
",3
8495,"dictated D IH K T EY T IH D
",5
8496,"dictates D IH K T EY T S
",9
8497,"dictating D IH K T EY T IH NG
",2
8498,"dictator D IH K T EY T ER
",7
8499,"dictatorial D IH K T AH T AO R IY AH L
",1
8500,"dictators D IH K T EY T ER Z
",4
8501,"dictatorship D IH K T EY T ER SH IH P
",13
8502,"diction D IH K SH AH N
",6
8503,"dictionaries D IH K SH AH N EH R IY Z
",1
8504,"dictionary D IH K SH AH N EH R IY
",57
8505,"dictum D IH K T AH M
",4
8506,"did D IH D
",1044
8507,"diddle D IH D AH L
",1
8508,"didi D IY D IY
",1
8509,"didn't D IH D AH N T
",401
8510,"die D AY
",73
8511,"died D AY D
",86
8512,"diego D IY EY G OW
",5
8513,"diehard D AY HH AA R D
",1
8514,"diehards D AY HH AA R D Z
",1
8515,"diem D IY M
",2
8516,"dies D AY Z
",12
8517,"diesel D IY S AH L
",1
8518,"diet D AY AH T
",21
8519,"dietary D AY AH T EH R IY
",6
8520,"dieters D AY AH T ER Z
",1
8521,"dietetic D AY AH T EH T IH K
",1
8522,"dietrich D IY T R IH K
",5
8523,"diets D AY IH T S
",3
8524,"differ D IH F ER
",18
8525,"differed D IH F ER D
",13
8526,"difference D IH F ER AH N S
",148
8527,"differences D IH F ER AH N S IH Z
",79
8528,"different D IH F ER AH N T
",312
8529,"differential D IH F ER EH N SH AH L
",16
8530,"differentiate D IH F ER EH N SH IY EY T
",2
8531,"differentiated D IH F ER EH N SH IY EY T IH D
",5
8532,"differentiating D IH F ER EH N SH IY EY T IH NG
",1
8533,"differentiation D IH F ER EH N SH IY EY SH AH N
",8
8534,"differently D IH F R AH N T L IY
",16
8535,"differing D IH F ER IH NG
",1
8536,"differs D IH F ER Z
",10
8537,"difficult D IH F AH K AH L T
",161
8538,"difficulties D IH F AH K AH L T IY Z
",46
8539,"difficulty D IH F AH K AH L T IY
",76
8540,"diffraction D IH F R AE K SH AH N
",7
8541,"diffuse D IH F Y UW S
",4
8542,"diffused D IH F Y UW Z D
",2
8543,"diffuses D IH F Y UW Z AH Z
",1
8544,"diffusing D IH F Y UW Z IH NG
",3
8545,"diffusion D IH F Y UW ZH AH N
",24
8546,"dig D IH G
",10
8547,"digby D IH G B IY
",7
8548,"digest D AY JH EH S T
",3
8549,"digested D AY JH EH S T IH D
",1
8550,"digestible D AY JH EH S T AH B AH L
",1
8551,"digesting D AY JH EH S T IH NG
",2
8552,"digestive D AY JH EH S T IH V
",3
8553,"digger D IH G ER
",2
8554,"digges D IH G Z
",1
8555,"digging D IH G IH NG
",7
8556,"digiorgio D IH JH AO R JH IY OW
",1
8557,"digit D IH JH AH T
",1
8558,"digital D IH JH AH T AH L
",6
8559,"digitalis D IH JH AH T AE L AH S
",1
8560,"dignified D IH G N AH F AY D
",7
8561,"dignify D IH G N AH F AY
",1
8562,"dignitaries D IH G N AH T EH R IY Z
",3
8563,"dignity D IH G N AH T IY
",35
8564,"digress D AY G R EH S
",1
8565,"digressions D AY G R EH SH AH N Z
",1
8566,"digs D IH G Z
",1
8567,"dijon D IY ZH AA N
",1
8568,"dilapidated D AH L AE P AH D EY T IH D
",3
8569,"dilatation D IH L AH T EY SH AH N
",3
8570,"dilate D AY L EY T
",2
8571,"dilated D AY L EY T IH D
",2
8572,"dilation D AY L EY SH AH N
",2
8573,"dilemma D IH L EH M AH
",25
8574,"dilemmas D AH L EH M AH Z
",2
8575,"diligence D IH L AH JH AH N S
",3
8576,"diligent D IH L IH JH AH N T
",2
8577,"diligently D IH L AH JH AH N T L IY
",1
8578,"dill D IH L
",12
8579,"dillinger D IH L IH NG ER
",1
8580,"dillon D IH L AH N
",11
8581,"dilute D AY L UW T
",1
8582,"diluted D AY L UW T AH D
",6
8583,"diluting D AY L UW T IH NG
",3
8584,"dilution D AY L UW SH AH N
",7
8585,"diluzio D IH L UW Z IY OW
",1
8586,"dilworth D IH L W ER TH
",1
8587,"dim D IH M
",19
8588,"dimaggio D IH M AE JH IY OW
",6
8589,"dime D AY M
",4
8590,"dimension D IH M EH N SH AH N
",15
8591,"dimensional D IH M EH N SH AH N AH L
",11
8592,"dimensions D IH M EH N SH AH N Z
",30
8593,"dimes D AY M Z
",3
8594,"diminish D IH M IH N IH SH
",3
8595,"diminished D IH M IH N IH SH T
",10
8596,"diminishes D IH M IH N IH SH IH Z
",3
8597,"diminishing D IH M IH N IH SH IH NG
",8
8598,"diminution D IH M AH N UW SH AH N
",1
8599,"diminutive D IH M IH N Y AH T IH V
",3
8600,"dimitri D IH M IY T R IY
",2
8601,"dimly D IH M L IY
",12
8602,"din D IH N
",1
8603,"dine D AY N
",2
8604,"dined D AY N D
",3
8605,"dineen D IH N IY N
",1
8606,"dines D AY N Z
",1
8607,"dinghy D IH NG IY
",1
8608,"dingo D IH NG G OW
",1
8609,"dingy D IH N JH IY
",5
8610,"dinh D IH N
",1
8611,"dining D AY N IH NG
",28
8612,"dinner D IH N ER
",91
8613,"dinners D IH N ER Z
",9
8614,"dinnertime D IH N ER T AY M
",3
8615,"dinnerware D IH N ER W EH R
",1
8616,"dinosaur D AY N AH S AO R
",1
8617,"dinosaurs D AY N AH S AO R Z
",1
8618,"dinsmore D IY N S M AO R
",1
8619,"diocesan D AY AA S AH S AH N
",5
8620,"diocese D AY AH S IY Z
",1
8621,"diodati D IY OW D AA T IY
",1
8622,"dion D AY AH N
",1
8623,"dionysian D AY AH N IH S IY AH N
",2
8624,"dior D IY AO R
",1
8625,"dioxide D AY AA K S AY D
",2
8626,"dip D IH P
",6
8627,"diplomacy D IH P L OW M AH S IY
",17
8628,"diplomat D IH P L AH M AE T
",5
8629,"diplomat's D IH P L AH M AE T S
",1
8630,"diplomatic D IH P L AH M AE T IH K
",28
8631,"diplomats D IH P L AH M AE T S
",6
8632,"dipole D AY P OW L
",5
8633,"dipped D IH P T
",3
8634,"dipper D IH P ER
",6
8635,"dipping D IH P IH NG
",1
8636,"dips D IH P S
",1
8637,"dire D AY R
",1
8638,"direct D ER EH K T
",129
8639,"directed D ER EH K T AH D
",68
8640,"directing D ER EH K T IH NG
",7
8641,"direction D ER EH K SH AH N
",134
8642,"directional D ER EH K SH AH N AH L
",8
8643,"directions D ER EH K SH AH N Z
",30
8644,"directive D ER EH K T IH V
",2
8645,"directives D AY R EH K T IH V Z
",4
8646,"directly D ER EH K T L IY
",141
8647,"directness D ER EH K T N AH S
",4
8648,"director D ER EH K T ER
",101
8649,"director's D AY R EH K T ER Z
",1
8650,"directorate D ER EH K T ER AH T
",4
8651,"directors D ER EH K T ER Z
",19
8652,"directorship D ER EH K T ER SH IH P
",1
8653,"directory D ER EH K T ER IY
",7
8654,"directs D ER EH K T S
",5
8655,"dirge D ER JH
",2
8656,"dirksen D ER K S AH N
",3
8657,"dirt D ER T
",43
8658,"dirty D ER T IY
",36
8659,"disabilities D IH S AH B IH L AH T IY Z
",2
8660,"disability D IH S AH B IH L IH T IY
",5
8661,"disable D IH S EY B AH L
",1
8662,"disabled D IH S EY B AH L D
",10
8663,"disabling D IH S EY B AH L IH NG
",3
8664,"disabuse D IH S AH B Y UW S
",2
8665,"disadvantage D IH S AH D V AE N T IH JH
",4
8666,"disadvantages D IH S AH D V AE N T IH JH IH Z
",9
8667,"disaffected D IH S AH F EH K T IH D
",1
8668,"disaffection D IH S AH F EH K SH AH N
",1
8669,"disagree D IH S AH G R IY
",7
8670,"disagreeable D IH S AH G R IY AH B AH L
",1
8671,"disagreed D IH S AH G R IY D
",3
8672,"disagreement D IH S AH G R IY M AH N T
",11
8673,"disagreements D IH S AH G R IY M AH N T S
",2
8674,"disagrees D IH S AH G R IY Z
",2
8675,"disallowed D IH S AH L AW D
",1
8676,"disappear D IH S AH P IH R
",11
8677,"disappearance D IH S AH P IH R AH N S
",8
8678,"disappeared D IH S AH P IH R D
",35
8679,"disappearing D IH S AH P IH R IH NG
",5
8680,"disappears D IH S AH P IH R Z
",3
8681,"disappointed D IH S AH P OY N T IH D
",15
8682,"disappointing D IH S AH P OY N T IH NG
",7
8683,"disappointment D IH S AH P OY N T M AH N T
",15
8684,"disappointments D IH S AH P OY N T M AH N T S
",2
8685,"disapproval D IH S AH P R UW V AH L
",15
8686,"disapprove D IH S AH P R UW V
",4
8687,"disapproved D IH S AH P R UW V D
",4
8688,"disapproves D IH S AH P R UW V Z
",1
8689,"disarm D IH S AA R M
",2
8690,"disarmament D IH S AA R M AH M AH N T
",11
8691,"disarmed D IH S AA R M D
",3
8692,"disarming D IH S AA R M IH NG
",3
8693,"disarray D IH S ER EY
",2
8694,"disassemble D IH S AH S EH M B AH L
",1
8695,"disaster D IH Z AE S T ER
",26
8696,"disasters D IH Z AE S T ER Z
",4
8697,"disastrous D IH Z AE S T R AH S
",16
8698,"disbanded D IH S B AE N D IH D
",2
8699,"disbelief D IH S B IH L IY F
",6
8700,"disbelieve D IH S B AH L IY V
",1
8701,"disbelieving D IH S B AH L IY V IH NG
",1
8702,"disbursed D IH S B ER S T
",1
8703,"disbursement D IH S B ER S M AH N T
",2
8704,"disbursements D IH S B ER S M AH N T S
",2
8705,"disc D IH S K
",6
8706,"discard D IH S K AA R D
",1
8707,"discarded D IH S K AA R D IH D
",8
8708,"discern D IH S ER N
",4
8709,"discerned D IH S ER N D
",2
8710,"discernible D IH S ER N AH B AH L
",8
8711,"discerning D IH S ER N IH NG
",2
8712,"discernment D IH S ER N M AH N T
",1
8713,"discharge D IH S CH AA R JH
",19
8714,"discharged D IH S CH AA R JH D
",9
8715,"discharges D IH S CH AA R JH AH Z
",9
8716,"discharging D IH S CH AA R JH IH NG
",3
8717,"disciple D IH S AY P AH L
",4
8718,"disciples D IH S AY P AH L Z
",5
8719,"disciplinary D IH S AH P L AH N EH R IY
",1
8720,"discipline D IH S AH P L AH N
",27
8721,"disciplined D IH S AH P L AH N D
",11
8722,"disciplines D IH S AH P L AH N Z
",4
8723,"disciplining D IH S AH P L AH N IH NG
",1
8724,"disclaimed D IH S K L EY M D
",1
8725,"disclaimer D IH S K L EY M ER
",1
8726,"disclose D IH S K L OW Z
",9
8727,"disclosed D IH S K L OW Z D
",14
8728,"discloses D IH S K L OW Z IH Z
",1
8729,"disclosure D IH S K L OW ZH ER
",2
8730,"disclosures D IH S K L OW ZH ER Z
",4
8731,"discolored D IH S K AH L ER D
",1
8732,"discolors D IH S K AH L ER Z
",1
8733,"discomfort D IH S K AH M F ER T
",7
8734,"disconcert D IH S K AH N S ER T
",1
8735,"disconcerting D IH S K AH N S ER T IH NG
",4
8736,"disconnected D IH S K AH N EH K T IH D
",4
8737,"discontent D IH S K AH N T EH N T
",8
8738,"discontented D IH S K AH N T EH N T IH D
",1
8739,"discontinuance D IH S K AH N T IH N Y UW AH N S
",1
8740,"discontinue D IH S K AH N T IH N Y UW
",2
8741,"discontinued D IH S K AH N T IH N Y UW D
",7
8742,"discontinuity D IH S K AA N T IH N UW IH T IY
",4
8743,"discord D IH S K AO R D
",1
8744,"discount D IH S K AW N T
",12
8745,"discounted D IH S K AW N T IH D
",2
8746,"discounting D IH S K AW N T IH NG
",1
8747,"discounts D IH S K AW N T S
",5
8748,"discourage D IH S K ER IH JH
",9
8749,"discouraged D IH S K ER AH JH D
",15
8750,"discouragement D IH S K ER IH JH M AH N T
",3
8751,"discouraging D IH S K ER AH JH IH NG
",5
8752,"discourse D IH S K AO R S
",10
8753,"discourses D IH S K AO R S IH Z
",2
8754,"discover D IH S K AH V ER
",40
8755,"discovered D IH S K AH V ER D
",73
8756,"discoverer D IH S K AH V ER ER
",1
8757,"discoveries D IH S K AH V ER IY Z
",10
8758,"discovering D IH S K AH V ER IH NG
",7
8759,"discovers D IH S K AH V ER Z
",3
8760,"discovery D IH S K AH V ER IY
",45
8761,"discredit D IH S K R EH D AH T
",2
8762,"discredited D IH S K R EH D IH T IH D
",3
8763,"discreet D IH S K R IY T
",3
8764,"discreetly D IH S K R IY T L IY
",2
8765,"discrepancies D IH S K R EH P AH N S IY Z
",5
8766,"discrepancy D IH S K R EH P AH N S IY
",11
8767,"discrete D IH S K R IY T
",7
8768,"discretion D IH S K R EH SH AH N
",14
8769,"discretionary D IH S K R EH SH AH N EH R IY
",2
8770,"discriminate D IH S K R IH M AH N EY T
",1
8771,"discriminating D IH S K R IH M AH N EY T IH NG
",7
8772,"discrimination D IH S K R IH M AH N EY SH AH N
",23
8773,"discriminatory D IH S K R IH M AH N AH T AO R IY
",3
8774,"discs D IH S K S
",7
8775,"discuss D IH S K AH S
",28
8776,"discussed D IH S K AH S T
",65
8777,"discusses D IH S K AH S AH Z
",4
8778,"discussing D IH S K AH S IH NG
",16
8779,"discussion D IH S K AH SH AH N
",94
8780,"discussions D IH S K AH SH AH N Z
",32
8781,"disdain D IH S D EY N
",3
8782,"disdainful D IH S D EY N F AH L
",2
8783,"disdaining D IH S D EY N IH NG
",2
8784,"disdains D IH S D EY N Z
",1
8785,"disease D IH Z IY Z
",53
8786,"diseased D IH Z IY Z D
",1
8787,"diseases D IH Z IY Z AH Z
",19
8788,"disembodied D IH S IH B AA D IY D
",1
8789,"disenfranchised D IH S IH N F R AE N CH AY Z D
",1
8790,"disenfranchisement D IH S IH N F R AE N CH AY Z M AH N T
",2
8791,"disengage D IH S IH N G EY JH
",1
8792,"disengagement D IH S IH N G EY JH M AH N T
",1
8793,"disentangle D IH S AH N T AE NG G AH L
",2
8794,"disfavor D IH S F EY V ER
",1
8795,"disfigured D IH S F IH G Y ER D
",5
8796,"disgrace D IH S G R EY S
",3
8797,"disgraced D IH S G R EY S T
",1
8798,"disgraceful D IH S G R EY S F AH L
",1
8799,"disgruntled D IH S G R AH N T AH L D
",1
8800,"disguise D IH S G AY Z
",5
8801,"disguised D IH S G AY Z D
",11
8802,"disguises D IH S G AY Z IH Z
",1
8803,"disgust D IH S G AH S T
",1
8804,"disgusted D IH S G AH S T AH D
",6
8805,"disgusting D IH S G AH S T IH NG
",4
8806,"dish D IH SH
",16
8807,"disharmony D IH S HH AA R M AH N IY
",1
8808,"disheartening D IH S HH AA R T AH N IH NG
",1
8809,"dished D IH SH T
",1
8810,"dishes D IH SH AH Z
",21
8811,"disheveled D IH SH EH V AH L D
",2
8812,"dishonest D IH S AA N AH S T
",3
8813,"dishonesty D IH S AA N AH S T IY
",2
8814,"dishonor D IH S AA N ER
",2
8815,"dishonored D IH S AA N ER D
",1
8816,"dishwashers D IH SH W AA SH ER Z
",1
8817,"disillusioned D IH S IH L UW ZH AH N D
",2
8818,"disillusioning D IH S IH L UW ZH AH N IH NG
",1
8819,"disillusionment D IH S IH L UW ZH AH N M AH N T
",3
8820,"disimone D IH S IY M OW N IY
",1
8821,"disinclination D IH S IH N K L AH N EY SH AH N
",2
8822,"disintegrate D IH S IH N T AH G R EY T
",2
8823,"disintegrating D IH S IH N T AH G R EY T IH NG
",1
8824,"disintegration D IH S IH N T AH G R EY SH AH N
",5
8825,"disinterest D IH S IH N T ER AH S T
",3
8826,"disinterested D IH S IH N T R IH S T IH D
",5
8827,"disjointed D IH S JH OY N T IH D
",1
8828,"disk D IH S K
",25
8829,"disks D IH S K S
",4
8830,"dislike D IH S L AY K
",14
8831,"disliked D IH S L AY K T
",11
8832,"dislikes D IH S L AY K S
",4
8833,"disliking D IH S L AY K IH NG
",1
8834,"dislocated D IH S L OW K EY T IH D
",1
8835,"dislocation D IH S L OW K EY SH AH N
",1
8836,"dislocations D IH S L OW K EY SH AH N Z
",2
8837,"dislodge D IH S L AA JH
",2
8838,"dislodged D IH S L AA JH D
",1
8839,"disloyal D IH S L OY AH L
",2
8840,"disloyalty D IH S L OY AH L T IY
",2
8841,"dismal D IH Z M AH L
",8
